,Date(UTC),Market,Type,Price,Amount,Total,Fee
88,2022-04-20 04:36:30,ASTRUSDT,BUY,0.2142,466.8,99.98856,0.0001782
84,2022-04-20 13:35:33,ASTRUSDT,SELL,0.2195,416.1,91.33395,0.00016095
85,2022-04-20 13:35:33,ASTRUSDT,SELL,0.2196,50.7,11.13372,1.962e-05
79,2022-04-20 15:01:18,ATOMUSDT,BUY,24.42,1.77,43.2234,7.689e-05
80,2022-04-20 15:01:18,ATOMUSDT,BUY,24.42,2.23,54.4566,9.688e-05
65,2022-04-22 14:22:58,ATOMUSDT,SELL,23.27,4.0,93.08,0.00017067
13,2022-04-28 13:44:15,BTCSTUSDT,BUY,14.51,6.89,99.9739,0.00018751
10,2022-04-28 15:07:09,BTCSTUSDT,SELL,14.74,0.33,4.8642,9.03e-06
11,2022-04-28 15:07:09,BTCSTUSDT,SELL,14.74,6.56,96.6944,0.00017967
90,2022-04-19 16:41:43,CFXUSDT,BUY,0.1909,523.0,99.8407,0.00017999
87,2022-04-20 05:10:20,CFXUSDT,SELL,0.1883,523.0,98.4809,0.00017556
35,2022-04-26 14:41:21,CRVUSDT,BUY,2.598,38.4,99.7632,0.00019088
17,2022-04-28 08:17:32,CRVUSDT,SELL,2.559,38.4,98.2656,0.00018456
14,2022-04-28 13:13:44,DOGEUSDT,BUY,0.1371,729.0,99.9459,0.00018777
72,2022-04-21 16:58:20,EOSUSDT,BUY,2.651,26.4,69.9864,0.00012632
73,2022-04-21 16:58:20,EOSUSDT,BUY,2.651,11.3,29.9563,5.406e-05
103,2022-04-18 04:19:39,EOSUSDT,BUY,2.364,9.2,21.7488,4.077e-05
104,2022-04-18 04:19:38,EOSUSDT,BUY,2.364,26.1,61.7004,0.00011568
105,2022-04-18 04:19:38,EOSUSDT,BUY,2.364,7.0,16.548,3.102e-05
66,2022-04-22 14:22:57,EOSUSDT,SELL,2.508,37.8,94.8024,0.00017383
94,2022-04-18 13:30:44,EOSUSDT,SELL,2.36,42.2,99.592,0.00018369
77,2022-04-21 02:53:57,EPSUSDT,BUY,0.2341,427.0,99.9607,0.00017794
59,2022-04-22 14:22:59,EPSUSDT,SELL,0.2249,45.0,10.1205,1.855e-05
60,2022-04-22 14:22:59,EPSUSDT,SELL,0.2249,246.0,55.3254,0.00010144
61,2022-04-22 14:22:59,EPSUSDT,SELL,0.2249,136.0,30.5864,5.608e-05
52,2022-04-25 07:03:15,FETUSDT,BUY,0.3297,303.0,99.8991,0.00019543
49,2022-04-25 09:31:41,FETUSDT,SELL,0.3285,303.0,99.5355,0.00019425
34,2022-04-26 23:18:23,FIOUSDT,BUY,0.0961,1040.0,99.944,0.00019656
27,2022-04-27 14:02:02,FIOUSDT,SELL,0.1,1040.0,104.0,0.00019851
55,2022-04-25 06:57:59,GMTUSDT,BUY,3.23031,30.9,99.816579,0.00019382
48,2022-04-25 11:23:46,GMTUSDT,SELL,3.21423,30.9,99.319707,0.00019149
102,2022-04-18 04:24:23,JSTUSDT,BUY,0.07019,1424.7,99.999693,0.00019076
95,2022-04-18 13:30:12,JSTUSDT,SELL,0.0704,1424.7,100.29888,0.00018578
37,2022-04-26 12:45:15,KAVAUSDT,BUY,5.302,11.3,59.9126,0.0001128
38,2022-04-26 12:45:15,KAVAUSDT,BUY,5.302,7.5,39.765,7.486e-05
56,2022-04-25 06:52:33,KAVAUSDT,BUY,4.942,20.2,99.8284,0.00019285
21,2022-04-28 05:09:18,KAVAUSDT,SELL,5.27,18.8,99.076,0.00019062
44,2022-04-25 13:00:58,KAVAUSDT,SELL,5.208,20.2,105.2016,0.00020081
50,2022-04-25 08:18:08,KNCUSDT,BUY,4.748,21.0,99.708,0.00019521
110,2022-04-15 06:38:37,KNCUSDT,BUY,4.364,6.3,27.4932,4.974e-05
111,2022-04-15 06:38:28,KNCUSDT,BUY,4.364,16.6,72.4424,0.00013106
45,2022-04-25 12:50:30,KNCUSDT,SELL,5.034,2.0,10.068,1.921e-05
46,2022-04-25 12:50:30,KNCUSDT,SELL,5.034,19.0,95.646,0.00018257
